fecha,nombre_capacitacion,area_tematica,areas_destinatarias,agentes_capacitados,capacitador,organizador,modalidad,lugar_plataforma,duracion,cantidad_horas
6/2022,PROTECCIÓN CONTRA INCENDIOS Y UTILIZACIÓN DE EXTINTORES PORTÁTILES,Seguridad e higiene,Planta de RSU,19,Ing Daniel Virelaude,Planta de RSU,Presencial,Planta de Tratamiento de Residuos,1 encuentro de 1 hora,1
4/2022,CURSO PARA CONDUCTORES DE AMBULANCIAS,Competencias técnicas,Choferes: Marcelo Ramírez - Gerardo Villagra,2,Colegio de Médicos de la Pcia. de Santa Fe - 1° Circ.,Dirección de Salud,Presencial,Colegio de Médicos de la Pcia. de Santa Fe - 1° Circ.,1 encuentro de 9 a 17,8
5/2022,TALLER: PRÁCTICAS SOCIOCOMUNITARIAS CONSTRUCCIÓN COLECTIVA DE SABERES,Competencias técnicas,"Personal municipal integrante del Proyecto Apoyo Escolar, miembros del equipo interdisciplinario del Programa Educ-Acción, y estudiantes de los profesorados, practicantes de programas municipales.",19,Mg. Miriam Berlaffa - Universidad Nacional de Río IV,Dirección de Educación,Presencial,Instituto de Educación Superior N° 7,1 encuentro de 18:30 a 22:30,4
9/2022,FORMACIÓN EN DISCAPACIDAD Y EN DDHH,Inclusión y DDHH,Todos,35,Lic. María Eugenia Tabacco  - Directora del Centro Universitario Rosario Inclusiva UGR,Dirección de RRHH y UGR Venado Tuerto,Presencial / Virtual,Plataforma Zoom / UGR,3 encuentros de 2 horas c/u,6
9/2022,"PROTECCIÓN CONTRA INCENDIOS: FUEGO, CLASES DE FUEGO, EXTINTORES, USO.",Seguridad e higiene,Personal Planta de Residuos,14,Ing. Daniel Virelaude (MVT),Secretaría de Control Urbano,Presencial,Basural Municipal,1 encuentro de 2 horas,2
9/2022,INDUCCIÓN A LA HIGIENE Y SEGURIDAD - LEGISLACIÓN VIGENTE,Seguridad e higiene,Personal del Parque Municipal,32,Ing. Daniel Virelaude (MVT),Secretaría de Control Urbano,Presencial,Parque Municipal Manuel Belgrano,1 encuentro de 2 horas,2
9/2022,RCP - DESOBSTRUCCIÓN DE VÍAS AÉREAS - PRIMEROS AUXILIOS,Salud,Personal de la Secretaría de Desarrollo Económico,22,Asociacion de Bomberos Voluntarios de VT,Secretaría de Desarrollo Económico,Presencial,Cuartel de Bomberos Voluntarios de Venado Tuerto,2 encuentros de 1:30 cada uno,3
8/2022,CURSO ECONOMÍA POPULAR Y GESTIÓN INTEGRAL E INCLUSIVA DE RSU - 3°ed.,Buenas prácticas ambientales,Dardo Catramado; Elsabet Street; Guillermo Barbey.,3,Facultad de Ingeniería - UBA,Direccíón de Medioambiente y GIRSU,Virtual,Plataforma Zoom,"8 encuentros, de 19 a 22",32
9/2022,HERRAMIENTAS PARA MEJORAR LA COMUNICACIÓN EN LA ATENCIÓN AL VECINO,Competencias técnicas,Personal de contacto,25,Lic. Marisa Bendahan,Dirección de RRHH,Presencial,Insituto Superior Dante Alighieri,4 encuentros de 19 a 20:30,6
9/2022,BUENAS PRÁCTICAS PARA LA ATENCIÓN AL VECINO,Competencias técnicas,Personal de oficinas dependientes de la Subsec. de Producción.,9,Lic. María Osío,Subsecretaría de Producción,Presencial,Sala de Reuniones Garnier,4 encuentros de 7:30 a 9:00,6
10/2022,DISCAPACIDAD Y HERRAMIENTAS PEDAGÓGICAS,Inclusión y DDHH,Personal docente municipal. Nivel primario y secundario,13,Prof. Verónica Caporaletti y Prof. Cecilia Mangini,Dirección de Educación,Presencial,Escuela Especial de Formación Integral N°212 (Hugo Strenitz 693) y Distrito E,1 encuentro de 8 a 12,4
10/2022,ALIMENTACIÓN SALUDABLE Y MANIPULACIPON DE ALIMENTOS,Salud,Personal municipal no docente: auxiliares,10,Lic. Julieta González y Lic. Gisella Ferraro – Nutrición,Dirección de Educación,Presencial,Distrito E,2 encuentros de 8 a 12,8
11/2022,FORMACIÓN DE AUDITORES DE ESTABLECIMIENTOS ELABORADORES DE ALIMENTOS,Competencias técnicas,Personal municipal de Seguridad Alimentaria,10,Méd. Vet. Laura Médici    Ing. Agr. Claudio Acosta,Dirección de Inspección General y Seguridad Alimentaria,Presencial,Sala de Reuniones Garnier,3 encuentros de 8 a 10:30,8
11/2022,PROTECCIÓN CONTRA INCENDIOS Y PLAN DE EMERGENCIAS,Seguridad e higiene,"Centro Residencial ""La Casa""",11,Ing. Daniel Virelaude (MVT),Secretaría de Salud y Desarrollo Social,Presencial,"Centro Residencial ""La Casa""",1 encuentro de 2 horas,2
12/2022,ENTRENAMIENTO EN COMUNICACIÓN Y GESTIÓN EMOCIONAL,Competencias técnicas,Personal de enfermería de la Dirección de Salud,31,Bettina Rosso - Intro Coaching,Dirección de Salud,Presencial,Museo Cayetano Silva,4 encuentros de 2 horas c/u - De 11 a 13,8
10/2022,ENTRENAMIENTO EN COMUNICACIÓN Y GESTIÓN EMOCIONAL,Competencias técnicas,Personal del Servicio de Salud de la Dirección de Salud,13,Bettina Rosso - Intro Coaching,Dirección de Salud,Presencial,Museo Cayetano Silva,4 encuentros de 2 horas c/u - De 11 a 13,8
