fecha,nombre_capacitacion,area_tematica,areas_destinatarias,agentes_capacitados,capacitador,organizador,modalidad,lugar_plataforma,duracion,cantidad_horas
7/2024,Taller: Activamos la Escucha,Competencias técnicas,Personal de todas las áreas,7,Psic. Andrea Sopranzi,Dirección de Recursos Humanos - Dirección de Desarrollo Humano,Presencial,SUM Héroes de Malvinas,,2
4/2024,Google Drive: Trabajo colaborativo en línea y uso del Formulario,Informática,Personal administrativo o que requiera el conocimiento del uso del formulario de Google para sus tareas diarias.,16,Prof. Jorge Egea,Dirección de Recursos Humanos,Presencial,Distrito E,,6
9/2024,Google Drive: Trabajo colaborativo en línea y uso del Formulario,Informática,Personal administrativo o que requiera el conocimiento del uso del formulario de Google para sus tareas diarias.,14,Prof. Jorge Egea,Dirección de Recursos Humanos,Presencial,Distrito E,,6
9/2024,Producción de textos administrativos y uso de Word,Informática,"Agentes administrativos, inspectores, notificadores,  que cumplan tareas que requieran la redacción e interpretación de textos tanto en formato físico, como digital.",16,Prof. Jorge Egea                                                    Prof. Cintia Chechi,Dirección de Recursos Humanos,Presencial,Distrito E,,14
10/2024,Excel Avanzado,Informática,Agentes y funcionarios pertenecientes a dependencias de la Administración Pública Municipal que posean conocimientos básicos del manejo de la herramienta.,12,Ing. Sandra Righini,Dirección de Recursos Humanos,Presencial,Distrito E,,20
10/2024,RC Capacita: Claves para el uso responsable de herramientas en los espacios municipales,Competencias técnicas,"Operarios municipales y comunales, del sector de desmalezado, Espacios Públicos y servicio técnico.",72,Equipo de ECHO Argentina,Dirección de Recursos Humanos - Dirección de Espacios Públicos,Presencial,Centro Cultural Municipal,,3
10/2024,VI Congreso Nacional de Arboricultura y Bosques Urbanos,Buenas prácticas ambientales,Ing. Magalí Felici (Espacios Públicos),1,UNC,Fac Cs Agropecuarias - UNC,Presencial,UNC - Córdoba,,
9/2024,Buenas prácticas ambientales en el ámbito laboral - Separación de RSU,Buenas prácticas ambientales,Personal de limpieza,21,Prof. Sebastián Urreta - Coordinador de Participación Ambiental,Dirección de RRHH - Participación Ciudadana,Presencial,Sala Garnier  -  Palacio Municipal,,1
9/2024,Buenas prácticas ambientales en el ámbito laboral - Separación de RSU,Buenas prácticas ambientales,Personal de limpieza,22,Prof. Sebastián Urreta - Coordinador de Participación Ambiental,Dirección de RRHH - Participación Ciudadana,Presencial,SUM Héroes de Malvinas,,1
10/2024,Buenas prácticas ambientales en el ámbito laboral - Separación de RSU,Buenas prácticas ambientales,Abierto a todo el personal,14,Prof. Sebastián Urreta - Coordinador de Participación Ambiental,Dirección de RRHH - Participación Ciudadana,Presencial,SUM Héroes de Malvinas,,1
10/2024,Buenas prácticas ambientales en el ámbito laboral - Separación de RSU,Buenas prácticas ambientales,Abierto a todo el personal,16,Prof. Sebastián Urreta - Coordinador de Participación Ambiental,Dirección de RRHH - Participación Ciudadana,Presencial,Sala Garnier  -  Palacio Municipal,,1
,Auxiliar en Contrucción en Seco,Competencias técnicas,Invitación Oficina de Empleo,5,,Oficina de Empleo,Presencial,,,96
11/2024,Manejo del Sistema Integral de Captura de Actas Móviles de Tránsito y Otras (SICAMTO),Competencias técnicas,Autoridades y personal del Tribunal de Faltas,21,Pablo Petriz,Tribunal de Faltas de Venado Tuerto,Presencial,Sala Informática - Distrito E,,2
12/2024,Reválida Nacional para Entrenadores y Entrenadoras de Básquetbol,Competencias técnicas,Entrenadores y Entrenadoras de Básquetbol de Dirección de Deportes,4,Confederación Argentina de Basquetbol,Confederación Argentina de Basquetbol,Virtual - Presencial (híbrido),,,9
