Conceptos,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
TOTAL," $  3.912.354.618,75 "," $  6.497.658.878,17 "," $  3.489.576.772,74 "," $  3.876.688.674,38 "," $  3.881.316.517,31 "," $  4.310.133.935,09 "," $  4.925.901.922,82 "," $  5.411.475.536,29 "," $  5.033.148.531,86 "," $  5.318.044.037,91 "," $  4.663.057.175,22 "," $  5.437.543.341,13 "
C. EGRESOS,,,,,,,,,,,,
Egresos por operaciones corrientes.," $  3.381.246.015,60 "," $  3.042.016.800,82 "," $  3.474.165.220,31 "," $  3.832.016.555,52 "," $  4.017.967.253,30 "," $  4.810.133.494,90 "," $  4.682.576.017,92 "," $  4.231.703.502,51 "," $  4.678.144.659,29 "," $  4.496.824.072,34 "," $  4.805.320.516,03 "," $  5.642.740.732,72 "
Egresos por erogaciones de capital.," $  971.321,53 "," $  1.065.694,17 "," $  1.140.876,91 "," $  672.332,86 "," $  1.714.367,88 "," $  1.693.254,59 "," $  1.239.854,63 "," $  2.262.365,60 "," $  1.835.282,85 "," $  1.887.400,17 "," $  1.988.794,62 "," $  2.011.680,92 "
Egresos judiciales.,,,,,,,,,,,,
Egresos extra-presupuestarios.,,,,,,,,,,,,
Erogaciones por transferencias.,,,,,,,,,,,,
TOTAL," $  3.382.217.337,13 "," $  3.043.082.494,99 "," $  3.475.306.097,22 "," $  3.832.688.888,38 "," $  4.019.681.621,18 "," $  4.811.826.749,49 "," $  4.683.815.872,55 "," $  4.233.965.868,11 "," $  4.679.979.942,14 "," $  4.498.711.472,51 "," $  4.807.309.310,65 "," $  5.644.752.413,64 "
,,,,,,,,,,,,
C1.VIARIACIÓN DISPONIBILIDADES (B - C)," $  530.137.281,62 "," $  3.454.576.383,18 "," $  14.270.675,52 "," $  43.999.786,00 ","-$  138.365.103,87 ","-$  501.692.814,40 "," $  242.086.050,27 "," $  1.177.509.668,18 "," $  353.168.589,72 "," $  819.332.565,40 ","-$  144.252.135,43 ","-$  207.209.072,51 "
,,,,,,,,,,,,
D. SALDO DISPONIBILIDADES AL FINAL," $  8.634.357.199,44 "," $  12.088.933.582,62 "," $  12.103.204.258,14 "," $  12.147.204.044,14 "," $  12.008.838.940,27 "," $  11.507.146.125,87 "," $  11.749.232.176,14 "," $  12.926.741.844,32 "," $  13.279.910.434,04 "," $  14.099.242.999,44 "," $  13.954.990.864,01 "," $  13.747.781.791,50 "
E. SALDO DISPONIBILIDADES AL FINAL,,,,,,,,,,,,
Caja, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Recaudaciones a depositar.," $  19.195.489,49 "," $  12.779.986,65 "," $  13.650.257,19 "," $  19.074.886,69 "," $  20.099.256,62 "," $  14.696.289,05 "," $  16.535.850,40 "," $  11.521.825,98 "," $  18.060.230,08 "," $  15.385.325,27 "," $  20.681.360,70 "," $  24.486.541,33 "
Bancos," $  308.419.241,95 "," $  527.401.565,00 "," $  411.771.173,92 "," $  314.187.638,58 "," $  317.037.351,36 "," $  568.124.052,00 "," $  416.980.911,45 "," $  493.565.371,49 "," $  335.610.742,89 "," $  298.074.022,49 "," $  360.884.378,53 "," $  584.998.142,50 "
Pazos Fijos ," $  6.296.385.039,39 "," $  9.754.593.810,18 "," $  9.994.219.105,10 "," $  9.580.845.921,93 "," $  9.859.200.139,02 "," $  9.448.299.104,42 "," $  9.679.642.815,31 "," $  12.374.776.264,48 "," $  12.698.174.175,25 "," $  11.224.664.192,42 "," $  12.871.652.794,98 "," $  11.118.303.086,81 "
Inversiones," $  2.010.357.428,61 "," $  1.794.158.220,79 "," $  1.683.563.721,93 "," $  2.233.095.596,94 "," $  1.797.102.005,44 "," $  1.476.026.680,40 "," $  1.636.072.598,98 "," $  46.878.382,37 "," $  228.065.285,82 "," $  2.561.119.459,26 "," $  701.772.329,80 "," $  2.019.994.020,86 "
Fondos en tránsito, $  -   , $  -   , $  -   ,," $  15.400.187,83 ",,,,,,,
TOTAL," $  8.634.357.199,44 "," $  12.088.933.582,62 "," $  12.103.204.258,14 "," $  12.147.204.044,14 "," $  12.008.838.940,27 "," $  11.507.146.125,87 "," $  11.749.232.176,14 "," $  12.926.741.844,32 "," $  13.279.910.434,04 "," $  14.099.242.999,44 "," $  13.954.990.864,01 "," $  13.747.781.791,50 "
DIFERENCIA ( D - E ), $  -   ," $  0,00 ","-$  0,00 ", $  -   , $  -   , $  -   , $  -   , $  -   , $  -   ,"-$  0,00 "," $  0,00 ","-$  0,00 "
