Función,Secretaría,Subsecretaría,Dirección,Coordinación,Funcionario,Género,Ordenanza,Ordenanza link,Decreto,Decreto link
Secretario/a,Desarrollo Económico,-,-,-,"Viskovic, Luis",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 361/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Subsecretario/a,Desarrollo Económico,Desarrollo Económico,-,-,"De Diego, Bernardo",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 368/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Desarrollo Económico,Desarrollo Económico,Contaduría,-,"Spadoni, Roberto",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Carrera,-
Director/a,Desarrollo Económico,Desarrollo Económico,Tesorería,-,"Gaido, Gisela",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 097/19,https://venadotuerto.gob.ar/html/boletin_oficial/2019_04.pdf
Director/a,Desarrollo Económico,Desarrollo Económico,Rentas,-,"Serale, María Eugenia",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Carrera,-
Director/a,Desarrollo Económico,Desarrollo Económico,Fiscalización Impositiva,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Director/a,Desarrollo Económico,Desarrollo Económico,Logística y Suministros,-,Flavia Inés Martín,Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,"Nº 180/25
",https://venadotuerto.gob.ar/wp-content/uploads/2025/09/B.O-Agosto.pdf
Director/a,Desarrollo Económico,Desarrollo Económico,Cómputos,-,"Amarante, Jorge",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 400/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Secretario/a,Desarrollo Humano,-,-,-,"Iturbide, Mariana",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 364/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Desarrollo Humano,-,Médica del Primer Nivel de Atención,-,"Botti, Daniela",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 357/24,https://venadotuerto.gob.ar/wp-content/uploads/2025/02/BO-Diciembre2024.pdf
Director/a,Desarrollo Humano,-,Planes y Programas Sociales,-,"Ruiz, Cristian",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 375/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Desarrollo Humano,-,Desarrollo Humano,-,"Sopranzi, Andrea",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 375/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Desarrollo Humano,-,Instituto Municipal de Salud y Convivencia Animal (IMUSCA),-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Director/a,Desarrollo Humano,-,Abordaje de Consumos Problemáticos,-,"Dominguez, Débora",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 375/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Secretario/a,Desarrollo Productivo,-,-,-,"Vicente, Camila",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 363/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Desarrollo Productivo,-,Comercio e Industria,-,"Bongiovanni, Cecilia",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 268/25,https://venadotuerto.gob.ar/wp-content/uploads/2026/02/BO-Diciembre-2025.pdf
Director/a,Desarrollo Productivo,-,Empleo e Innovación,-,"Paitovi, Inés",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 374/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Coordinador/a,Desarrollo Productivo,-,Empleo e Innovación,Inserción Laboral,"San Cristobal, Mónica",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Director/a,Desarrollo Productivo,-,Emprendedurismo y Economía Social,-,"González, Ariana",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 095/25,https://venadotuerto.gob.ar/wp-content/uploads/2025/07/BO-Mayo.pdf
Coordinador/a,Desarrollo Productivo,-,Emprendedurismo y Economía Social,Emprendedores y Economía Social,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Secretario/a,Gobierno,-,-,-,"De Mattia, Mariano",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 358/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Subsecretario/a,Gobierno,Planeamiento y Urbanismo,-,-,"Alou, Liliana",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 366/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Gobierno,Planeamiento y Urbanismo,Obras Privadas,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Director/a,Gobierno,Planeamiento y Urbanismo,Planeamiento,-,"Donati, Leandro",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 038/24,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BOEnero.pdf
Director/a,Gobierno,-,Recursos Humanos,-,"González, Pablo",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 369/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Gobierno,-,Asuntos Jurídicos,-,"Tamburini, Franco",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 369/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Gobierno,-,Asuntos Legislativos y Despacho,-,"Eguren, Celina",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Carrera,-
Director/a,Gobierno,-,Tierra y Hábitat,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Coordinador/a,Gobierno,-,Tierra y Hábitat,Gestión de Suelo,"Prola, Alejandro",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 300/24,https://venadotuerto.gob.ar/wp-content/uploads/2024/12/BO-Octubre2024.pdf
Subsecretario/a,Gobierno,Vecinales,-,-,"Rebasti, Facundo",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 264/25,https://venadotuerto.gob.ar/wp-content/uploads/2026/02/BO-Diciembre-2025.pdf
Secretario/a,Servicios y Obras Públicas,-,-,-,"Kovacevich, Guillermo",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 360/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Subsecretario/a,Servicios y Obras Públicas,Obras Públicas,-,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Subsecretario/a,Servicios y Obras Públicas,Movilidad,-,-,"Bernabei, Eugenio",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 367/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Servicios y Obras Públicas,-,Obras Públicas,-,"Aguilar, Fabián",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 040/25,https://venadotuerto.gob.ar/wp-content/uploads/2025/05/Marzo-BO-2025.pdf
Director/a,Servicios y Obras Públicas,-,Proyectos y Seguimiento de Obras,-,"Rabolini, Sabrina",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 043/23,https://venadotuerto.gob.ar/wp-content/uploads/2023/04/Marzo.pdf
Director/a,Servicios y Obras Públicas,-,Servicios Públicos,-,"Mugni, Martín",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 041/25,https://venadotuerto.gob.ar/wp-content/uploads/2025/05/Marzo-BO-2025.pdf
Director/a,Servicios y Obras Públicas,-,Espacios Públicos,-,"Gallo, Sebastián",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 371/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Servicios y Obras Públicas,-,Medio Ambiente,-,"Santi, Juliana",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 250/24,https://venadotuerto.gob.ar/wp-content/uploads/2024/10/BO-Agosto.pdf
Director/a,Servicios y Obras Públicas,-,Asuntos Rurales,-,"Paris, Francisco",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 371/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Coordinador/a,Servicios y Obras Públicas,Movilidad,-,Movilidad,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Coordinador/a,Servicios y Obras Públicas,Movilidad,-,Innovación y Sistema,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Secretario/a,Territorialidad y Desarrollo Cultural,-,-,-,"Carabajal, Miriam",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 359/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Territorialidad y Desarrollo Cultural,-,Educación,-,"Rolhaiser, Carina",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 265/25,https://venadotuerto.gob.ar/wp-content/uploads/2026/02/BO-Diciembre-2025.pdf
Director/a,Territorialidad y Desarrollo Cultural,-,Deportes,-,"Traverso, Marcela",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 370/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Territorialidad y Desarrollo Cultural,-,Juventudes,-,"Martínez, Jonatan",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 370/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Territorialidad y Desarrollo Cultural,-,Gestión Artística,-,"Buljubasich, Silvina",Femenino,-,-,Nº 115/25,-
Coordinador/a,Territorialidad y Desarrollo Cultural,-,-,Programación Cultural,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Coordinador/a,Territorialidad y Desarrollo Cultural,-,-,Gestión Cultural,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
